"","Feature","Gain","Cover","Frequence","RealCover","RealCover %"
"88","num_var13_0",0.000383589103348108,0.000706749818660923,0.000448631673396142,72,0.023936170212766
"2","imp_aport_var13_hace3",0.00034407842220838,0.00123703235340259,0.000598175564528189,3,0.000997340425531915
"134","saldo_var12",0.000337372254705514,0.000983030318334901,0.000747719455660236,106,0.0352393617021277
"23","ind_var1_0",0.000310506831929806,0.000263391564361934,0.000373859727830118,35,0.0116356382978723
"41","ind_var41_0",0.000287223319863199,0.000213643489338006,0.000448631673396142,2397,0.796875
"57","num_meses_var13_corto_ult3",0.000271739827216928,0.000432855945758569,0.000747719455660236,72,0.023936170212766
"83","num_sal_var16_ult1",0.000263608670148081,0.00371976156814264,0.000897263346792284,36,0.011968085106383
"49","ind_var9_ult1",0.000259845665041959,0.000133354396917583,0.000299087782264095,284,0.0944148936170213
"28","ind_var13_0",0.000244553870714165,0.000319254061081556,0.000149543891132047,26,0.0086436170212766
"42","ind_var43_emit_ult1",0.000227251842823396,7.05778581534462e-05,0.000373859727830118,168,0.0558510638297872
"146","saldo_var40",0.000226167252558843,0.000509613202374372,0.000299087782264095,31,0.0103058510638298
"95","num_var25_0",0.000222185562079568,6.29102402202856e-05,0.000523403618962165,317,0.105385638297872
"48","ind_var9_cte_ult1",0.000221897116027636,6.24724702135741e-05,0.000523403618962165,317,0.105385638297872
"96","num_var26_0",0.000200676760637091,0.000204439068667456,0.000523403618962165,547,0.181848404255319
"122","saldo_medio_var13_corto_hace3",0.000199222099031933,0.000701302753726067,0.000897263346792284,9,0.00299202127659574
"80","num_op_var41_hace3",0.000184984418015815,2.83840494977788e-05,0.000672947510094213,172,0.0571808510638298
"12","imp_op_var40_efect_ult3",0.000172745128771341,0.000660419993490682,0.000523403618962165,36,0.011968085106383
"39","ind_var37_cte",0.000163199049150552,0.00016028314691371,0.000448631673396142,225,0.0748005319148936
"67","num_op_var39_hace3",0.0001424329169861,0.000218749498930094,0.000448631673396142,113,0.0375664893617021
"56","num_meses_var12_ult3",0.000128417888492372,0.000167040210039121,0.000299087782264095,104,0.0345744680851064
"136","saldo_var13_corto",0.000127072689333972,0.000159582936668219,0.000373859727830118,8,0.00265957446808511
"123","saldo_medio_var13_corto_ult1",0.000125971753221435,0.000374730818113343,0.000299087782264095,11,0.00365691489361702
"133","saldo_var1",0.000125588088130774,6.90562668442617e-05,0.000149543891132047,7,0.00232712765957447
"143","saldo_var31",0.000118451693733047,0.000158033430883925,0.000299087782264095,3,0.000997340425531915
"45","ind_var5_0",0.00010874657020451,6.17669175441166e-05,0.000299087782264095,2700,0.897606382978723
"43","ind_var43_recib_ult1",0.000106084627980731,0.000200186596099893,0.000373859727830118,280,0.0930851063829787
"84","num_trasp_var11_ult1",0.000105294180952352,0.000173723096746053,0.000224315836698071,105,0.034906914893617
"1","delta_imp_aport_var13_1y3",0.000103135596887654,0.00051751760090992,0.000224315836698071,10,0.00332446808510638
"25","ind_var10_ult1",9.40165227172337e-05,8.15165101009703e-06,0.000224315836698071,280,0.0930851063829787
"46","ind_var7_recib_ult1",9.32438160047082e-05,0.000321841322297885,0.000149543891132047,8,0.00265957446808511
"38","ind_var37_0",9.25427044046306e-05,0.000182011415097108,0.000149543891132047,201,0.0668218085106383
"33","ind_var25_cte",8.77235129276452e-05,5.05130186351997e-05,0.000149543891132047,130,0.043218085106383
"70","num_op_var40_comer_ult1",7.96206851820129e-05,2.1737046391096e-05,0.000149543891132047,24,0.00797872340425532
